Owner Login,Repo Name,XText File Count
seba111,Xtext,1
MacJariel,xtext,1
tmtron,xtext.15minTutorial,1
blewis13,Boxes,1
DECENTSoftwareAssessment,famix.m3x,1
dslmeinte,SimScript,6
webdaford,aqleditor,0
goldschmiede,2012-02-03_dsls_mit_xtext,4
kthoms,org.eclipse.xtext.example.domainmodel,1
Reitzner,xtextmaven,1
hectorsun,xtextonboost,0
duck2,xtextbg,0
HolyCityAudio,SpinCAD-Builder,3
ceefour,glproto,1
DECENTSoftwareAssessment,dag.m1x.tests,0
gvd,xtext-sm,1
davidmpaz,php.ware.web.ui,0
DanielWeber,xtextext,0
fzalila,xtextfsm,1
DECENTSoftwareAssessment,dag.m1x.sdk,0
jgoppert,xmodelica,1
Vinayakatk,xtextgeneratetest,0
deb-sandeep,com.sandy.xtext.jovenotes,2
DECENTSoftwareAssessment,dag.m1x.ui,0
viatra,viatra-evm-xtext,1
protossoftware,ReqText,1
meysholdt,e4dsl,1
benzait27,Xtext.Promo,1
malakeel,myDsl,2
npalix,org.eclipse.xtext.example.arithmetics,1
sormgabriel,textual_verduler,0
ekowahyudi,examplextext,0
DECENTSoftwareAssessment,famix.m3x.ui,0
nakul02,sialx-xtext-ide,1
kduske-n4,DomainModel,1
Infoly,SmallJava,0
inakuhn,de.htwg.mdse.setgame.entities.parent,1
mlanoe,x-vhdl,1
DECENTSoftwareAssessment,famix.m3x.tests,0
nkonev,CalcXtext,1
meysholdt,xtext_examples,26
manuelleduc,xtext-lib,0
xarvey,atom-xtext-package,1
LolloCorte,bpel-xtext,3
sciolizer,xtext-sandbox,1
denschu,xtext-whitespace,1
pablitar,claseXtext,2
DECENTSoftwareAssessment,famix.m3x.sdk,0
tdegueul,xtext-composition,2
danieldietrich,xtext-javatools,1
akademia,ontouml-xtext,1
efuentesp,codebuilder-xtext,1
zrrk,xtext-utils,0
juli1,xtext-debug,2
nbhusare,Xtext-sandbox,8
jachinte,xtext-grammars,1
susieagerholm,XTEXT_EXAMPLE,6
itemis,monaco-xtext,0
xiaoyvr,xtext-demo,1
hmc-cs111-fall2015,picobot-XText,1
yanntm,Xtext-Light,0
quendimax,libXtextcursorchanger,0
Ikraminfo,GrammaireXtext,0
nickeeyyoo,xtext_project,1
marinamygithub,xtext_project,2
lukashaertel,xtext-xgen,4
fmca,xtext-typesystem,1
almazhou,xtext-demo,0
Huluvu424242,xtext.example,1
kiddochan,xtext-typesystem,1
mmalohlava,ppXtext,1
ponta027,xtext_practice,1
bhdrkn,Xtext-Examples,2
fatalerrortan,Xtext-examples,2
gcr-nist,runtime-Xtext,0
fBrx,language-xtext,0
ilya-klyuchnikov,sll-xtext,1
vonbolt,Xtext_test,1
rytina,xtext-typesystem,1
philiber92,xtext-utils,0
thomasfischl,xtext-workshop,2
jbadeau,ng-xtext,0
OliverScherf,MGPL-Xtext,1
szarnyasg,gradle-xtext,1
malbac,Xtend_Xtext,2
gitpan,Convert-XText,0
rmemory,xtext_eclipse,0
lukashaertel,xtext-technocat,1
lukashaertel,xtext-xtestgen,1
zhangyuanqiao,selenium-xtext,2
cooked,modelica-xtext,1
pablitar,firewall-xtext,1
hamza-abed,JSEditorXtext,1
Virtlink,paplj-xtext,1
kwanggy,xtext-sublime,0
thicket-lang,thicket-xtext,1
agentlab,xtext-web,3
test-editor,xtext-dropwizard,1
kecskesk,xtext-menetrend,1
ftrifin,xtext-utils,0
scottopell,xtext_utils,0
lukashaertel,xtext-fsml,3
sahrmann,xtext-json,1
Modaptix,xtext-utils,0
itemis,xtext-issues,0
holzem,xtext-lexertrace,1
victorlacorte,Tcc,0
limelanguage,lime-xtext,0
edgarmueller,xtext-recordmapper,1
santoshdeshpande,wwf-xtext,1
MatzeGIT,XText-maven,1
tkurita,XText.scptd,0
t-buss,mgpl_xtext,1
dvdkruk,xtext-workshop,1
npalix,org.xtext.example.mde,3
logicfish,XActiv,1
kittaakos,webcalc,1
evandor,skysail-prototypr-dsl,1
iensen,certware-l-editor,3
vladimirkozhaev,casualintellect_new_wizard,1
TinyScream,org.xtext.amodel,1
M2TIIL2016-2017,SiteWeb_XText,2
schakko,hackcamp-xtext-automotivebus,1
sfinnie,xtext.scoping.adventures,1
jpaw,bonaparte-apidsl,1
rainerschuster,yacc-ide,1
schakko,xtext-bug-436688,1
dhuebner,xtext-builddsl-tycho,1
matejsp,lwc13-xtext,2
ftrifin,xtext-utils.uml,0
mbarbero,xtext-forms-integration,2
FForw4rd,xtext-restriction-framework,2
zrrk,xtext-utils.devenv,0
ftrifin,xtext-utils.xtend,0
svenefftinge,xtext-jaxcon-example,1
