Owner,Repo,Ecore File,Containing Folder
SimonCockx,xtext-monaco-example,not applicable,not applicable
mister-walter,xtext-folding-issue,not applicable,not applicable
mister-walter,xtext-folding-issue,not applicable,not applicable
alexvolh,xtext-xml-grammar,not applicable,not applicable
alexvolh,xtext-xml-grammar,not applicable,not applicable
SharkJ,my-theia-xtext,xtext-dsl-language-server/io.typefox.xtext.langserver.example/model/generated/MyDsl.ecore,generated
urbanoanderson,xtext-gait-model,org.xtext.example.avante/model/generated/Prescription.ecore,generated
vjordan,Xtext_directory-file,org.xtext.example.dirfile/model/generated/DirFile.ecore,generated
JosBouwhuis,xText-DSL,not applicable,not applicable
JosBouwhuis,xText-DSL,not applicable,not applicable
CS130-W20,assignment-2-xtext,not applicable,not applicable
CS130-W20,assignment-2-xtext,not applicable,not applicable
lunifera,xtext-jvmtypeprovider-standalone,not applicable,not applicable
lunifera,xtext-jvmtypeprovider-standalone,not applicable,not applicable
bobbyfisher1,eclipse-workspace,org.example.entities/model/generated/Entities.ecore,generated
dsl-course,xtext-entities-tutorial,not applicable,not applicable
dsl-course,xtext-entities-tutorial,not applicable,not applicable
Highbrainer,xtext-pde-target,not applicable,not applicable
Highbrainer,xtext-pde-target,not applicable,not applicable
mattsse,xtext-fipa-acl,not applicable,not applicable
mattsse,xtext-fipa-acl,not applicable,not applicable
XIECHO,qingo_xtext_documentation,not applicable,not applicable
XIECHO,qingo_xtext_documentation,not applicable,not applicable
FariSoftware,xtext-problem-matcher,not applicable,not applicable
FariSoftware,xtext-problem-matcher,not applicable,not applicable
ShrawanBK,xtext.sales.transactions,not applicable,not applicable
ShrawanBK,xtext.sales.transactions,not applicable,not applicable
Lzgpom,xtext-gen-extension,not applicable,not applicable
